protocol	downlink	uplink	throughput	delay	avg_capacity
UDP	 Verizon-LTE-short.down	 Verizon-LTE-short.up	4.71	607	5.04
UDP	 Verizon-LTE-short.down	 Verizon-LTE-short.up	4.73	607	5.04
UDP	 Verizon-LTE-short.down	 Verizon-LTE-short.up	4.72	607	5.04
UDP	 Verizon-LTE-short.down	 Verizon-LTE-short.up	4.59	608	5.04
UDP	 Verizon-LTE-short.down	 Verizon-LTE-short.up	3.20	277	5.04
UDP	 Verizon-LTE-short.down	 Verizon-LTE-short.up	3.21	276	5.04
UDP	 Verizon-LTE-short.down	 Verizon-LTE-short.up	3.21	276	5.04
UDP	 Verizon-LTE-short.down	 Verizon-LTE-short.up	3.21	276	5.04
UDP	 Verizon-LTE-short.down	 Verizon-LTE-short.up	4.97	892	5.04
UDP	 Verizon-LTE-short.down	 Verizon-LTE-short.up	4.96	893	5.04
UDP	 Verizon-LTE-short.down	 Verizon-LTE-short.up	4.97	896	5.04
UDP	 Verizon-LTE-short.down	 Verizon-LTE-short.up	4.96	895	5.04
UDP	 Verizon-LTE-short.down	 Verizon-LTE-short.up	1.90	154	5.04
UDP	 Verizon-LTE-short.down	 Verizon-LTE-short.up	1.90	154	5.04
UDP	 Verizon-LTE-short.down	 Verizon-LTE-short.up	1.90	154	5.04
UDP	 Verizon-LTE-short.down	 Verizon-LTE-short.up	1.90	155	5.04
UDP	 Verizon-LTE-short.down	 Verizon-LTE-short.up	4.01	400	5.04
UDP	 Verizon-LTE-short.down	 Verizon-LTE-short.up	4.01	401	5.04
UDP	 Verizon-LTE-short.down	 Verizon-LTE-short.up	4.02	399	5.04
UDP	 Verizon-LTE-short.down	 Verizon-LTE-short.up	4.01	399	5.04
UDP	 Verizon-LTE-short.down	 Verizon-LTE-short.up	4.27	452	5.04
UDP	 Verizon-LTE-short.down	 Verizon-LTE-short.up	4.28	447	5.04
UDP	 Verizon-LTE-short.down	 Verizon-LTE-short.up	4.27	453	5.04
UDP	 Verizon-LTE-short.down	 Verizon-LTE-short.up	4.27	453	5.04
UDP	 Verizon-LTE-short.down	 Verizon-LTE-short.up	4.46	504	5.04
UDP	 Verizon-LTE-short.down	 Verizon-LTE-short.up	4.46	504	5.04
UDP	 Verizon-LTE-short.down	 Verizon-LTE-short.up	4.47	505	5.04
UDP	 Verizon-LTE-short.down	 Verizon-LTE-short.up	4.47	503	5.04
UDP	 Verizon-LTE-short.down	 Verizon-LTE-short.up	4.46	503	5.04
UDP	 Verizon-LTE-short.down	 Verizon-LTE-short.up	4.32	495	5.04
UDP	 Verizon-LTE-short.down	 Verizon-LTE-short.up	4.46	502	5.04
UDP	 Verizon-LTE-short.down	 Verizon-LTE-short.up	4.47	503	5.04
UDP	 Verizon-LTE-short.down	 Verizon-LTE-short.up	2.62	213	5.04
UDP	 Verizon-LTE-short.down	 Verizon-LTE-short.up	2.48	198	5.04
UDP	 Verizon-LTE-short.down	 Verizon-LTE-short.up	4.99	1011	5.04
UDP	 Verizon-LTE-short.down	 Verizon-LTE-short.up	3.87	400	5.04
UDP	 Verizon-LTE-short.down	 Verizon-LTE-short.up	4.25	452	5.04
UDP	 Verizon-LTE-short.down	 Verizon-LTE-short.up	4.47	504	5.04
UDP	 Verizon-LTE-short.down	 Verizon-LTE-short.up	1.03	108	5.04
UDP	 Verizon-LTE-short.down	 Verizon-LTE-short.up	1.03	110	5.04
UDP	 Verizon-LTE-short.down	 Verizon-LTE-short.up	2.35	187	5.04
UDP	 Verizon-LTE-short.down	 Verizon-LTE-short.up	2.19	177	5.04
UDP	 Verizon-LTE-short.down	 Verizon-LTE-short.up	2.35	188	5.04
UDP	 Verizon-LTE-short.down	 Verizon-LTE-short.up	2.35	187	5.04
UDP	 Verizon-LTE-short.down	 Verizon-LTE-short.up	2.37	189	5.04
UDP	 Verizon-LTE-short.down	 Verizon-LTE-short.up	2.36	188	5.04
UDP	 Verizon-LTE-short.down	 Verizon-LTE-short.up	2.36	187	5.04
